iter	RMSE
0	0.5893113987
1	0.5702420813
2	0.5525418955
3	0.5357463061
4	0.5201754009
5	0.5056732724
6	0.4916852039
7	0.4791438796
8	0.4671888441
9	0.4561613451
10	0.4458994604
11	0.4363537881
12	0.4270942123
13	0.4187885379
14	0.4106673795
15	0.4032572487
16	0.3961896124
17	0.3899785669
18	0.3838969319
19	0.3785317976
20	0.3732978642
21	0.3684356056
22	0.3640261772
23	0.3599926552
24	0.355755822
25	0.352387155
26	0.3490079054
27	0.3458686186
28	0.3429656347
29	0.3402838966
30	0.3375945695
31	0.3351106281
32	0.3326757583
33	0.3304227544
34	0.328389132
35	0.3264412405
36	0.3246273805
37	0.3229878646
38	0.3214765417
39	0.3200181491
40	0.3185687243
41	0.3171240464
42	0.3158338394
43	0.3146840333
44	0.3136311899
45	0.3126881116
46	0.3116628259
47	0.3106017343
48	0.3096186438
49	0.3087903763
50	0.3079978375
51	0.3072030812
52	0.3064914875
53	0.3057113672
54	0.3049672395
55	0.3043287264
56	0.3037082636
57	0.3032362293
58	0.3027206112
59	0.3021018425
60	0.3016393865
61	0.3011371925
62	0.3007117471
63	0.3003626226
64	0.2998612569
65	0.2994422711
66	0.2989782737
67	0.2985437277
68	0.2980669468
69	0.2976533789
70	0.297239455
71	0.2968932724
72	0.2965309234
73	0.2960995396
74	0.2957743189
75	0.2954678037
76	0.2951302575
77	0.2948426369
78	0.2945236005
79	0.2940802995
80	0.293639026
81	0.2933581867
82	0.293078553
83	0.2928415696
84	0.2926235508
85	0.292415967
86	0.2921905103
87	0.2919935792
88	0.2917079889
89	0.2914882146
90	0.291295369
91	0.2910596214
92	0.2908915074
93	0.2906430093
94	0.290273358
95	0.2900832368
96	0.2899236348
97	0.2896556877
98	0.2894376633
99	0.2892365635
100	0.2889790308
101	0.2887674405
102	0.2885803507
103	0.2883642712
104	0.2881695602
105	0.2880150519
106	0.2878594993
107	0.2876373977
108	0.2874610314
109	0.2872910535
110	0.2871220073
111	0.2870054633
112	0.2868343055
113	0.2865490164
114	0.2864299701
115	0.2860828236
116	0.2858087695
117	0.2856564709
118	0.2854929893
119	0.2853528668
120	0.2852069531
121	0.2850832217
122	0.2849175775
123	0.2847415105
124	0.2845587589
125	0.2844743995
126	0.2843196428
127	0.284186136
128	0.2840007401
129	0.2838337643
130	0.2835553997
131	0.2833744047
132	0.2832286037
133	0.283056548
134	0.282926561
135	0.2828166451
136	0.282691309
137	0.2826055333
138	0.2824524478
139	0.2822972489
140	0.2822201299
141	0.2821026231
142	0.281928726
143	0.2818509117
144	0.2817968113
145	0.281672175
146	0.2815638302
