iter	Passed	Remaining
0	161	808766
1	172	430212
2	180	300105
3	190	238053
4	199	199334
5	209	174224
6	219	156485
7	226	141345
8	235	130492
9	244	121935
10	253	114862
11	263	109446
12	271	104329
13	281	100146
14	289	96358
15	296	92503
16	304	89206
17	312	86422
18	320	84055
19	329	82064
20	337	79951
21	344	77900
22	351	76091
23	358	74410
24	366	72951
25	374	71690
26	381	70314
27	391	69563
28	399	68487
29	408	67602
30	415	66679
31	428	66465
32	435	65574
33	443	64742
34	450	63903
35	457	63139
36	464	62333
37	472	61664
38	479	60987
39	486	60305
40	492	59624
41	499	59014
42	507	58456
43	513	57855
44	520	57298
45	527	56783
46	535	56398
47	542	55919
48	548	55463
49	555	54953
50	561	54479
51	568	54071
52	574	53608
53	581	53242
54	588	52898
55	598	52838
56	610	52932
57	621	52988
58	629	52704
59	636	52385
60	644	52167
61	651	51860
62	658	51574
63	665	51332
64	672	51045
65	679	50822
66	688	50667
67	696	50537
68	704	50348
69	712	50168
70	720	49985
71	727	49805
72	734	49593
73	742	49411
74	749	49195
75	757	49104
76	764	48880
77	770	48646
78	778	48489
79	785	48289
80	794	48223
81	800	47993
82	807	47810
83	813	47637
84	820	47434
85	827	47285
86	834	47123
87	841	46956
88	848	46803
89	855	46649
90	862	46546
91	869	46409
92	876	46254
93	883	46105
94	891	46045
95	898	45911
96	906	45803
97	911	45611
98	919	45505
99	927	45436
100	934	45351
101	942	45237
102	950	45173
103	958	45146
104	966	45051
105	974	44997
106	982	44921
107	989	44825
108	996	44729
109	1003	44602
110	1009	44476
111	1016	44363
112	1024	44309
113	1031	44215
114	1038	44114
115	1045	44020
116	1052	43941
117	1059	43833
118	1067	43775
119	1073	43656
120	1080	43576
121	1087	43498
122	1095	43418
123	1101	43296
124	1107	43206
125	1116	43186
126	1125	43179
127	1133	43159
128	1142	43136
129	1151	43122
130	1159	43106
131	1168	43094
132	1177	43077
133	1185	43037
134	1193	43016
135	1201	42959
136	1208	42900
137	1215	42835
138	1223	42785
139	1232	42772
140	1239	42726
141	1247	42682
142	1256	42678
143	1264	42645
144	1271	42573
145	1279	42530
146	1286	42462
147	1293	42415
148	1301	42362
149	1309	42339
150	1317	42305
151	1325	42282
152	1333	42232
153	1340	42196
154	1348	42147
155	1356	42121
156	1364	42082
157	1371	42037
158	1380	42021
159	1387	41985
160	1395	41938
161	1402	41882
162	1409	41833
163	1417	41789
164	1424	41736
165	1432	41713
166	1440	41697
167	1448	41653
168	1455	41599
169	1460	41505
170	1465	41379
171	1471	41309
172	1477	41237
173	1485	41187
174	1492	41154
175	1499	41100
176	1507	41080
177	1515	41052
178	1522	41009
179	1527	40913
180	1534	40855
181	1542	40822
182	1550	40820
183	1560	40843
184	1568	40836
185	1576	40812
